Industry,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
          Federal Reserve banks/credit intermediation/related activities,2559,2613,2583,2652,2717,2817,2850,2909,2953,2898,2750,2618,2566
          Securities/commodity contracts/investments,730,764,826,841,793,761,768,796,825,858,871,816,803
          Insurance carriers and related activities,2241,2272,2262,2265,2260,2289,2270,2274,2325,2315,2319,2265,2266
          Funds/trusts/other financial vehicles,81,83,85,86,83,82,85,88,91,88,89,85,85
      Real estate and rental and leasing,2017,2073,2108,2115,2111,2130,2164,2200,2235,2223,2194,2060,2015
          Real estate ,1349,1389,1407,1411,1431,1460,1490,1523,1563,1557,1545,1481,1477
          Rental and leasing services and lessors of intangible assets,668,685,701,704,679,670,674,676,672,666,649,579,538
    Professional and business services,15232,16034,16727,16466,16114,16050,16492,17076,17620,18052,17958,16736,16971
      Professional/scientific/technical services,6208,6550,6906,6991,6799,6792,6936,7202,7536,7781,7955,7617,7603
          Legal services,1058,1082,1092,1111,1139,1171,1185,1192,1197,1198,1187,1151,1139
          Computer systems design and related services,1055,1181,1303,1304,1162,1131,1162,1212,1288,1380,1453,1424,1461
          Miscellaneous professional/scientific/technical services,4094,4287,4512,4577,4499,4491,4589,4799,5050,5203,5316,5042,5003
      Management of companies and enterprises,1699,1733,1737,1709,1701,1702,1721,1768,1804,1860,1901,1856,1853
      Administrative and waste management services,7325,7751,8084,7766,7614,7556,7835,8106,8280,8411,8102,7263,7515
          Administrative and support services,7012,7434,7767,7446,7292,7233,7506,7764,7931,8054,7741,6914,7150
          Waste management and remediation services,313,317,317,320,322,323,329,342,349,357,360,348,365
    Educational services/health care/social assistance,14793,15121,15472,15805,16374,16794,17176,17532,18018,18538,19051,19405,19745
      Educational services,2310,2391,2478,2567,2692,2744,2838,2867,2938,3015,3099,3146,3211
      Health care and social assistance,12483,12730,12994,13238,13682,14050,14338,14665,15080,15523,15952,16259,16534
          Ambulatory health care services,4259,4287,4388,4512,4678,4838,4998,5168,5352,5536,5698,5837,6024
          Hospitals and nursing and residential care facilities,6416,6519,6589,6769,6938,7062,7137,7225,7343,7499,7676,7795,7818
          Social assistance,1807,1924,2017,1957,2065,2150,2204,2273,2385,2488,2578,2626,2692
    Arts/entertainment/recreation/accommodation/food services,11247,11546,11832,12048,12169,12345,12667,12933,13223,13524,13583,13184,13206
      Arts/entertainment/recreation,1645,1708,1792,1818,1834,1849,1890,1916,1932,1989,2005,1959,1944
          Performing arts/spectator sports/museums/related activities,465,476,501,511,509,511,517,521,531,552,558,545,543
          Amusements/gambling/recreation industries,1181,1232,1290,1307,1325,1338,1373,1395,1401,1437,1447,1414,1401
